collaborative,description,external_urls,href,id,images,name,owner,primary_color,public,snapshot_id,tracks,type,uri
False,The ultimate christmas music hits playlist that features holiday classics new and old,{'spotify': 'https://open.spotify.com/playlist/1cSe1tbdYYYnyoP93yJlRA'},https://api.spotify.com/v1/playlists/1cSe1tbdYYYnyoP93yJlRA,1cSe1tbdYYYnyoP93yJlRA,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84d32926d832c9a9703970df0f', 'width': None}]",POPULAR CHRISTMAS MUSIC 🎅🏻🎄🎁 HITS 2025,"{'display_name': 'Clark Shipley', 'external_urls': {'spotify': 'https://open.spotify.com/user/0vzbpkqiv7xiu56nm7gw6z03y'}, 'href': 'https://api.spotify.com/v1/users/0vzbpkqiv7xiu56nm7gw6z03y', 'id': '0vzbpkqiv7xiu56nm7gw6z03y', 'type': 'user', 'uri': 'spotify:user:0vzbpkqiv7xiu56nm7gw6z03y'}",,True,AAAdPlAe6ARoTWbLAtIPYnTHy7y6OMAa,"{'href': 'https://api.spotify.com/v1/playlists/1cSe1tbdYYYnyoP93yJlRA/tracks', 'total': 146}",playlist,spotify:playlist:1cSe1tbdYYYnyoP93yJlRA
False,Best 2024 &amp; 2025 hits. Bringing you the Best Songs and best new 2025 hits : Top Hits 2024 in one playlist weekly updated. Best 2024 Hits and new releases 2024. Global Hits 2025 + 2024 + 2023 + 2022 + 2021,{'spotify': 'https://open.spotify.com/playlist/1Cgey68pUlQGsCPI2wJuxr'},https://api.spotify.com/v1/playlists/1Cgey68pUlQGsCPI2wJuxr,1Cgey68pUlQGsCPI2wJuxr,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84d9c1864e78243c7cea867f1e', 'width': None}]",Best of 2025 🔥 Most Popular Hits 2025 Hits,"{'display_name': 'partyfiesta!', 'external_urls': {'spotify': 'https://open.spotify.com/user/partyfiesta!'}, 'href': 'https://api.spotify.com/v1/users/partyfiesta!', 'id': 'partyfiesta!', 'type': 'user', 'uri': 'spotify:user:partyfiesta%21'}",,True,AAAE0L2crlOmsnqqD7NGAjR+WFeeLjLg,"{'href': 'https://api.spotify.com/v1/playlists/1Cgey68pUlQGsCPI2wJuxr/tracks', 'total': 250}",playlist,spotify:playlist:1Cgey68pUlQGsCPI2wJuxr
False,"old but gold, all the best throwback songs to new hits, pop, rnb, edm, rap, workout music and more! :)",{'spotify': 'https://open.spotify.com/playlist/6mtYuOxzl58vSGnEDtZ9uB'},https://api.spotify.com/v1/playlists/6mtYuOxzl58vSGnEDtZ9uB,6mtYuOxzl58vSGnEDtZ9uB,"[{'height': None, 'url': 'https://image-cdn-fa.spotifycdn.com/image/ab67706c0000d72ca730bed7741fc8b1cc36b3f9', 'width': None}]",Pop Hits 2000s – 2025,"{'display_name': 'maka_97', 'external_urls': {'spotify': 'https://open.spotify.com/user/maka_97'}, 'href': 'https://api.spotify.com/v1/users/maka_97', 'id': 'maka_97', 'type': 'user', 'uri': 'spotify:user:maka_97'}",,True,AABEWyG22q9xeT2WCkBRahOP27vzyMS8,"{'href': 'https://api.spotify.com/v1/playlists/6mtYuOxzl58vSGnEDtZ9uB/tracks', 'total': 307}",playlist,spotify:playlist:6mtYuOxzl58vSGnEDtZ9uB
False,Have you ever wanted a playlist that you can sing along with your friends on a car ride or even hanging out at the crib? Well this is the playlist for you! Introuducing songs from 2000 all the way to 2015 to indulge on the prime of pop music.,{'spotify': 'https://open.spotify.com/playlist/26MY3qVKQFBSqNMBshJZs8'},https://api.spotify.com/v1/playlists/26MY3qVKQFBSqNMBshJZs8,26MY3qVKQFBSqNMBshJZs8,"[{'height': 640, 'url': 'https://mosaic.scdn.co/640/ab67616d00001e0285432abc16fd92be0d435cb9ab67616d00001e0286b0c9728ad3ed338eaeea79ab67616d00001e0297c7b770b28ffeed164f4d0eab67616d00001e02e207a14471e5356294146e9d', 'width': 640}, {'height': 300, 'url': 'https://mosaic.scdn.co/300/ab67616d00001e0285432abc16fd92be0d435cb9ab67616d00001e0286b0c9728ad3ed338eaeea79ab67616d00001e0297c7b770b28ffeed164f4d0eab67616d00001e02e207a14471e5356294146e9d', 'width': 300}, {'height': 60, 'url': 'https://mosaic.scdn.co/60/ab67616d00001e0285432abc16fd92be0d435cb9ab67616d00001e0286b0c9728ad3ed338eaeea79ab67616d00001e0297c7b770b28ffeed164f4d0eab67616d00001e02e207a14471e5356294146e9d', 'width': 60}]",2000-2010's pop car bangers ,"{'display_name': 'JacksonTeague3', 'external_urls': {'spotify': 'https://open.spotify.com/user/jdss0o4mjajn4sghworh4s10m'}, 'href': 'https://api.spotify.com/v1/users/jdss0o4mjajn4sghworh4s10m', 'id': 'jdss0o4mjajn4sghworh4s10m', 'type': 'user', 'uri': 'spotify:user:jdss0o4mjajn4sghworh4s10m'}",,True,AAAEoEsN+tX2xccNLSfDok5kIjWiY78G,"{'href': 'https://api.spotify.com/v1/playlists/26MY3qVKQFBSqNMBshJZs8/tracks', 'total': 177}",playlist,spotify:playlist:26MY3qVKQFBSqNMBshJZs8
False,Take it back to 8th grade with this mix of pop-punk powerhouse tunes full of headbangin and heartbreak. Enjoy the nostalgia trip! And stay emo forever! When We Were Young Warped Tour,{'spotify': 'https://open.spotify.com/playlist/4ASGb9HSoMEUekd7ClxZxZ'},https://api.spotify.com/v1/playlists/4ASGb9HSoMEUekd7ClxZxZ,4ASGb9HSoMEUekd7ClxZxZ,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000d72cb3d49c3a363031b08727a0de', 'width': None}]",Pop Punk Throwback Bangers - 2000s Emo Punk Rock Hits,"{'display_name': 'Ray Fontaine', 'external_urls': {'spotify': 'https://open.spotify.com/user/1221028518'}, 'href': 'https://api.spotify.com/v1/users/1221028518', 'id': '1221028518', 'type': 'user', 'uri': 'spotify:user:1221028518'}",,True,AAAD0cKXAiSWN4rn/WBBCaCXn8QsZF7c,"{'href': 'https://api.spotify.com/v1/playlists/4ASGb9HSoMEUekd7ClxZxZ/tracks', 'total': 231}",playlist,spotify:playlist:4ASGb9HSoMEUekd7ClxZxZ
False,"Ultimate Holiday vibes - Christmas Xmas Winter wonderland classic music to enjoy your holidays in 2025. Santa, gifts, popular jolly tunes, chill beats Background party good vibes only to keep it rolling.",{'spotify': 'https://open.spotify.com/playlist/4WOh4HerggHJdidVMA298p'},https://api.spotify.com/v1/playlists/4WOh4HerggHJdidVMA298p,4WOh4HerggHJdidVMA298p,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000d72c7fb6ad5723841373211fffe2', 'width': None}]",Holiday Playlist 2025🎄,"{'display_name': 'Holiday Vibes', 'external_urls': {'spotify': 'https://open.spotify.com/user/kigoty6gopjftnazhhk7e0hh5'}, 'href': 'https://api.spotify.com/v1/users/kigoty6gopjftnazhhk7e0hh5', 'id': 'kigoty6gopjftnazhhk7e0hh5', 'type': 'user', 'uri': 'spotify:user:kigoty6gopjftnazhhk7e0hh5'}",,True,AAABRDYuMDLBzg5FsFSFfWM5j4LM2KbP,"{'href': 'https://api.spotify.com/v1/playlists/4WOh4HerggHJdidVMA298p/tracks', 'total': 113}",playlist,spotify:playlist:4WOh4HerggHJdidVMA298p
False,one day I will visit a jazz bar and do nothing but listen… like the movies🎷,{'spotify': 'https://open.spotify.com/playlist/26Zi3qLKC9cAWDs7wbbSzc'},https://api.spotify.com/v1/playlists/26Zi3qLKC9cAWDs7wbbSzc,26Zi3qLKC9cAWDs7wbbSzc,"[{'height': None, 'url': 'https://image-cdn-fa.spotifycdn.com/image/ab67706c0000d72c4124e97ec5159a5b4058a7f1', 'width': None}]",jazz bar in nyc🎷,"{'display_name': 'mishellepan', 'external_urls': {'spotify': 'https://open.spotify.com/user/mishellepan'}, 'href': 'https://api.spotify.com/v1/users/mishellepan', 'id': 'mishellepan', 'type': 'user', 'uri': 'spotify:user:mishellepan'}",,True,AAAA6/JWKv5Q+HthXi2S1C5eOOag615w,"{'href': 'https://api.spotify.com/v1/playlists/26Zi3qLKC9cAWDs7wbbSzc/tracks', 'total': 193}",playlist,spotify:playlist:26Zi3qLKC9cAWDs7wbbSzc
False,,{'spotify': 'https://open.spotify.com/playlist/4qrHzwnOhHzU0YRtnEMSi0'},https://api.spotify.com/v1/playlists/4qrHzwnOhHzU0YRtnEMSi0,4qrHzwnOhHzU0YRtnEMSi0,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000d72c859a8bd0bcf814227f9500af', 'width': None}]",autumn vintage jazz,"{'display_name': 'jennanhaines', 'external_urls': {'spotify': 'https://open.spotify.com/user/jennanhaines'}, 'href': 'https://api.spotify.com/v1/users/jennanhaines', 'id': 'jennanhaines', 'type': 'user', 'uri': 'spotify:user:jennanhaines'}",,True,AAAATR01U4Rc11V3z+ZMnoHX0W8TI1NY,"{'href': 'https://api.spotify.com/v1/playlists/4qrHzwnOhHzU0YRtnEMSi0/tracks', 'total': 55}",playlist,spotify:playlist:4qrHzwnOhHzU0YRtnEMSi0
False,,{'spotify': 'https://open.spotify.com/playlist/4J3uR1W1TDo3G8D97IN9Qu'},https://api.spotify.com/v1/playlists/4J3uR1W1TDo3G8D97IN9Qu,4J3uR1W1TDo3G8D97IN9Qu,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84567ec47e84575fdc94d3ecb8', 'width': None}]",old jazzy romantic calm,"{'display_name': 'arminaq', 'external_urls': {'spotify': 'https://open.spotify.com/user/selena486'}, 'href': 'https://api.spotify.com/v1/users/selena486', 'id': 'selena486', 'type': 'user', 'uri': 'spotify:user:selena486'}",,True,AAAAyrqr58MqTuOFcqtS7l8P23IULzlH,"{'href': 'https://api.spotify.com/v1/playlists/4J3uR1W1TDo3G8D97IN9Qu/tracks', 'total': 96}",playlist,spotify:playlist:4J3uR1W1TDo3G8D97IN9Qu
False,"songs from christmases past 🎄 40s, 50s, 60, and 70s vintage cosy Christmas nostalgia party vibes ✨ jazzy, pop, festive, holidays, classics",{'spotify': 'https://open.spotify.com/playlist/37z263MvGjXyn7RubTZDYc'},https://api.spotify.com/v1/playlists/37z263MvGjXyn7RubTZDYc,37z263MvGjXyn7RubTZDYc,"[{'height': None, 'url': 'https://image-cdn-ak.spotifycdn.com/image/ab67706c0000d72c1de7ef6ee7e62e307c6e1630', 'width': None}]",Nostalgic Vintage Christmas Party 🎄,"{'display_name': 'Teleglam Sam 🔮 @teleglamsam', 'external_urls': {'spotify': 'https://open.spotify.com/user/8xl3s7suetnbssmb5tni0te0z'}, 'href': 'https://api.spotify.com/v1/users/8xl3s7suetnbssmb5tni0te0z', 'id': '8xl3s7suetnbssmb5tni0te0z', 'type': 'user', 'uri': 'spotify:user:8xl3s7suetnbssmb5tni0te0z'}",,True,AAAAl0vkJFWdV5LdoP4bCLWTL2hbpI6y,"{'href': 'https://api.spotify.com/v1/playlists/37z263MvGjXyn7RubTZDYc/tracks', 'total': 88}",playlist,spotify:playlist:37z263MvGjXyn7RubTZDYc
False,"Best classical music to study, chill, and relax. From Bach, Mozart, Vivaldi, Beethoven, Chopin, Debussy, Satie, Tchaikovsky, to Christmas Classics. Peaceful piano to Orchestras from Baroque to Romantic and Modern. From opera to chamber to symphony, all in one playlist. Only the best. Enjoy!",{'spotify': 'https://open.spotify.com/playlist/27Zm1P410dPfedsdoO9fqm'},https://api.spotify.com/v1/playlists/27Zm1P410dPfedsdoO9fqm,27Zm1P410dPfedsdoO9fqm,"[{'height': None, 'url': 'https://image-cdn-fa.spotifycdn.com/image/ab67706c0000d72c1d36875da61b27546bdec036', 'width': None}]",Classical Bangers 🎹🎻,"{'display_name': 'Classical Bangers', 'external_urls': {'spotify': 'https://open.spotify.com/user/11102108940'}, 'href': 'https://api.spotify.com/v1/users/11102108940', 'id': '11102108940', 'type': 'user', 'uri': 'spotify:user:11102108940'}",,True,AAAYyIsf0ZoO1uxWz4j99uZSv2o08UBw,"{'href': 'https://api.spotify.com/v1/playlists/27Zm1P410dPfedsdoO9fqm/tracks', 'total': 475}",playlist,spotify:playlist:27Zm1P410dPfedsdoO9fqm
False,"Top 100 classical music masterpieces everyone knows, but not everybody knows their titles. Includes Mozart, Beethoven, Chopin, Rossini, Tchaikovsky, Strauss, Delibes, Bizet, Bach, Vivaldi, Offenbach, Brahms, Debussy, Handel, Bedrich and Mussorgsky...",{'spotify': 'https://open.spotify.com/playlist/2AIyLES2xJfPa6EOxmKySl'},https://api.spotify.com/v1/playlists/2AIyLES2xJfPa6EOxmKySl,2AIyLES2xJfPa6EOxmKySl,"[{'height': None, 'url': 'https://image-cdn-fa.spotifycdn.com/image/ab67706c0000da84c412db80f63b7b43b38c52db', 'width': None}]",100 of the most famous classical music pieces 🎻 🎹 🎺,"{'display_name': 'ILKER SATUR', 'external_urls': {'spotify': 'https://open.spotify.com/user/ilkersatur'}, 'href': 'https://api.spotify.com/v1/users/ilkersatur', 'id': 'ilkersatur', 'type': 'user', 'uri': 'spotify:user:ilkersatur'}",,True,AAAA1uJPYlajLBt1kipG/js34A6Oc1SP,"{'href': 'https://api.spotify.com/v1/playlists/2AIyLES2xJfPa6EOxmKySl/tracks', 'total': 100}",playlist,spotify:playlist:2AIyLES2xJfPa6EOxmKySl
